CHR Start Stop Strand
1 151205525 151205823 +1
12 123625256 123625505 -1
16 56940679 56940965 +1
16 217019 217316 -1
1 1886029 1886326 +1
5 171398492 171398784 +1
14 21256646 21256953 -1
14 103438711 103439006 +1
20 3897418 3897725 +1
11 83075244 83075542 +1
5 81303041 81303341 -1
5 61506301 61506592 +1
1 151220000 151220302 -1
10 28563994 28564280 +1
19 57846398 57846675 -1
11 62619550 62619699 -1
13 28195135 28195424 +1
16 74588427 74588718 -1
12 71661478 71661779 -1
17 61790644 61790925 -1
12 49268116 49268394 -1
10 94578414 94578694 +1
1 155474423 155474720 +1
2 61502956 61503256 -1
7 76353786 76354082 +1
7 139057066 139057370 +1
19 15334257 15334547 -1
11 66841930 66842214 +1
8 144292678 144292977 +1
11 83086434 83086724 -1
1 244833994 244834271 -1
10 70229918 70230208 -1
1 174009556 174009846 +1
4 145171052 145171339 +1
15 64375423 64375692 -1
19 4654341 4654607 -1
18 63343370 63343690 -1
11 118788032 118788333 +1
19 49515293 49515580 -1
1 171502740 171503021 -1
1 46126255 46126552 +1
19 11525969 11526262 -1
12 104297358 104297664 -1
12 110495428 110495733 +1
20 49185873 49186099 -1
8 26585829 26586123 +1
7 99550792 99551096 +1
15 50357411 50357697 +1
 "X" 74225451 74225762 -1
14 21446303 21446611 -1
17 45057067 45057341 -1
9 4739649 4739865 +1
1 155932678 155932961 +1
12 110497970 110498271 -1
3 136447202 136447496 +1
7 130928404 130928716 +1
1 173863024 173863261 +1
12 53672214 53672480 -1
3 56659869 56660161 -1
7 139096854 139097174 +1
17 75139538 75139830 +1
19 41871428 41871579 -1
1 151201643 151201874 +1
6 26215899 26216148 -1
17 75976991 75977295 -1
2 37103856 37104166 +1
10 102715663 102715959 +1
5 137991931 137992211 -1
4 39831095 39831398 -1
1 67413803 67414089 -1
1 1831778 1832091 +1
2 207547930 207548227 -1
17 67956337 67956608 -1
18 63343895 63344189 +1
3 100291300 100291598 +1
9 33037998 33038302 -1
12 6660815 6661093 -1
14 71419798 71420038 +1
3 136662459 136662744 -1
1 28570249 28570547 -1
12 68817791 68818093 -1
1 201960756 201961047 -1
5 171401071 171401362 +1
1 26711800 26712096 +1
12 98596731 98597042 +1
8 117981575 117981870 +1
1 88872171 88872482 +1
12 112372756 112373044 -1
6 42789359 42789659 +1
12 123237900 123238192 -1
14 24170939 24171172 +1
9 114590260 114590580 -1
3 48025292 48025578 -1
14 103432568 103432863 +1
3 58245163 58245465 -1
1 155918230 155918404 -1
1 244829231 244829522 -1
14 102600907 102601200 +1
19 6386103 6386416 +1
11 72811815 72812096 +1
12 122596558 122596858 +1
3 177154401 177154694 -1
8 42505658 42505902 +1
1 65051975 65052234 -1
4 139303514 139303740 +1
11 123051585 123051866 -1
1 235304074 235304371 +1
5 37050825 37051122 -1
16 74629376 74629651 +1
3 53250774 53251070 -1
17 28708749 28709003 +1
6 89834430 89834727 -1
1 28999791 28999999 -1
9 131462208 131462512 -1
13 45347087 45347409 +1
2 121535651 121535961 -1
2 202291524 202291829 +1
7 100437722 100438013 -1
11 57765888 57766121 +1
3 100291785 100292064 -1
16 28828736 28829029 -1
 "X" 21944695 21944988 +1
1 31046493 31046769 -1
1 155683366 155683691 +1
18 2786005 2786289 -1
10 73481191 73481468 +1
5 132918880 132919185 -1
5 113006851 113007139 +1
1 154933490 154933791 -1
19 16080528 16080830 +1
18 704159 704457 +1
12 56681865 56682145 -1
17 81560992 81561256 -1
1 77733113 77733414 +1
11 47767752 47768046 +1
17 21039295 21039571 +1
15 41354224 41354514 +1
1 154964493 154964764 -1
1 17414625 17414919 -1
20 32374016 32374289 -1
1 65030872 65031183 +1
 "X" 123976003 123976283 +1
10 102740257 102740521 -1
13 46005483 46005742 -1
7 25121646 25121936 +1
13 44562825 44563119 +1
1 52066193 52066501 -1
5 146146082 146146363 +1
9 129899428 129899735 +1
 "X" 44881683 44881986 -1
16 89415611 89415853 +1
11 77626121 77626358 -1
12 111433553 111433762 -1
1 29040267 29040580 -1
1 154002396 154002634 +1
22 17998548 17998851 -1
4 39897397 39897698 -1
3 50040657 50040944 -1
5 43069278 43069567 -1
17 67357916 67358220 -1
17 48939798 48940093 +1
2 9925567 9925874 -1
5 146205738 146206040 +1
1 203315311 203315618 +1
11 62887801 62888096 -1
10 28525524 28525783 -1
17 42471451 42471741 +1
13 21145511 21145817 -1
1 28990413 28990717 -1
11 63662486 63662773 -1
10 21680201 21680500 -1
17 30888269 30888551 +1
1 150580361 150580655 -1
2 55537094 55537390 +1
9 32478575 32478858 -1
1 151204186 151204476 -1
1 20784942 20785210 -1
9 97652335 97652631 +1
1 28442503 28442804 -1
4 353090 353387 +1
1 150675976 150676272 -1
19 14546304 14546534 +1
20 49262132 49262437 +1
3 52268828 52269103 -1
7 32567103 32567400 -1
1 246471191 246471496 -1
11 65306645 65306925 +1
10 119052399 119052675 -1
1 148426064 148426352 -1
12 107698574 107698891 -1
5 17240252 17240564 +1
7 152429895 152430205 +1
3 44344023 44344296 -1
3 52286550 52286836 -1
11 130307144 130307440 +1
4 39724113 39724404 -1
8 144800837 144801128 -1
2 61271001 61271284 +1
4 56348258 56348553 -1
15 40394802 40395083 -1
19 13760767 13761068 -1
11 62641914 62642226 +1
1 31050203 31050485 +1
11 66633209 66633503 -1
8 117987805 117988098 +1
1 112565734 112566025 +1
12 56676660 56676946 +1
3 136556570 136556882 -1
11 47511857 47512149 -1
1 29079416 29079671 -1
7 45110983 45111249 -1
19 24054924 24055232 +1
1 108952517 108952823 +1
11 66649004 66649297 -1
14 21412140 21412443 -1
 "X" 80789899 80790218 +1
12 122574466 122574714 -1
3 136588338 136588638 -1
1 38995758 38996041 +1
19 37252975 37253209 -1
7 105008506 105008790 +1
1 32638630 32638918 +1
19 36320478 36320792 +1
12 31964960 31965256 -1
 "X" 124000387 124000698 +1
16 89712901 89713206 +1
3 179349869 179350164 +1
1 153869011 153869304 +1
1 151420321 151420610 -1
20 34288399 34288686 +1
4 88400193 88400495 -1
 "X" 74275954 74276247 +1
15 82824875 82825148 +1
17 27297473 27297738 -1
8 73742251 73742556 +1
2 176313385 176313692 -1
11 63748999 63749284 +1
1 151220473 151220766 -1
1 65036194 65036433 +1
2 85611058 85611232 +1
16 68201240 68201567 -1
6 43029600 43029919 -1
7 29259045 29259336 +1
10 21680689 21680969 +1
22 40965428 40965741 -1
19 17413998 17414299 +1
19 41366855 41367172 +1
20 49707628 49707913 -1
14 102606923 102607231 -1
11 9305316 9305584 +1
16 70256301 70256599 -1
11 63692048 63692320 -1
19 47178472 47178765 -1
2 202207670 202208008 -1
8 65730645 65730948 +1
9 136884578 136884854 -1
1 150379012 150379311 +1
3 53253488 53253773 +1
5 139572644 139572939 -1
12 10216527 10216838 -1
19 23221583 23221875 -1
7 105280134 105280435 +1
16 69124423 69124674 -1
20 47334965 47335266 +1
14 71337713 71337958 +1
20 35795242 35795535 -1
3 10118494 10118787 -1
5 176387078 176387327 -1
1 28957413 28957700 -1
3 56678728 56679026 +1
 "X" 74277007 74277297 +1
11 70279921 70280195 -1
20 36933490 36933764 -1
7 3427250 3427540 +1
12 48657952 48658233 +1
10 73483861 73484149 +1
7 105380139 105380374 -1
1 151201348 151201637 -1
15 50360588 50360868 -1
11 18349400 18349703 +1
8 102407108 102407432 -1
1 112970375 112970679 -1
15 65542274 65542561 -1
2 152709747 152710021 +1
1 24747758 24748047 +1
16 74575595 74575731 -1
7 105005579 105005867 -1
8 117945498 117945800 -1
19 49454020 49454322 -1
16 31123216 31123508 -1
11 47168522 47168821 -1
16 74327734 74328024 -1
6 13690883 13691182 +1
1 235209192 235209495 +1
17 42588412 42588647 -1
7 151029524 151029806 -1
1 90974166 90974342 +1
5 178138919 178139153 +1
1 155313826 155314125 -1
13 24440900 24441171 -1
14 102634708 102635007 -1
12 98597412 98597722 -1
16 28854469 28854782 +1
19 21847828 21848120 -1
5 126809404 126809686 +1
20 32201302 32201612 +1
11 9392168 9392466 -1
15 89889563 89889888 +1
1 2244295 2244603 +1
1 10139113 10139414 +1
2 53944163 53944459 -1
11 119009863 119010169 +1
2 24002128 24002400 +1
16 25264096 25264404 +1
16 74562458 74562768 -1
2 55677312 55677622 +1
13 19780875 19781163 +1
14 103485252 103485572 -1
9 4739196 4739479 -1
2 42258411 42258699 -1
3 177133624 177133895 +1
5 61365925 61366195 -1
13 110711216 110711513 -1
5 177003852 177004105 -1
1 179860204 179860498 +1
14 102620285 102620572 +1
5 134772811 134773099 -1
17 67973501 67973803 -1
5 177151096 177151382 +1
15 80083626 80083865 +1
12 54287614 54287879 -1
20 49942540 49942836 +1
15 41289381 41289672 +1
1 235323040 235323337 -1
17 76559713 76560004 +1
3 197835185 197835476 -1
1 156332043 156332309 -1
16 4630436 4630744 -1
17 30781818 30782108 +1
1 151090731 151091027 +1
1 205736543 205736847 +1
1 235150068 235150369 -1
16 48604268 48604541 +1
1 32819285 32819591 +1
19 38626371 38626649 +1
22 50376421 50376707 -1
1 155683965 155684272 +1
8 38170039 38170336 -1
11 47759670 47759978 +1
1 31057121 31057435 +1
8 47946047 47946325 +1
15 44509664 44509929 +1
1 150372335 150372488 +1
3 49988686 49988964 +1
11 47480754 47481019 +1
11 62838151 62838454 -1
12 111593076 111593394 -1
14 102607602 102607906 +1
11 83175137 83175432 -1
1 20783979 20784269 -1
12 54333031 54333347 -1
12 132721307 132721585 +1
12 98523669 98523970 -1
2 28862333 28862632 -1
15 65548583 65548865 -1
17 42958220 42958518 +1
1 10410168 10410457 +1
16 56940302 56940608 -1
1 179216730 179216981 -1
16 89469226 89469520 -1
14 21454344 21454616 -1
7 29177207 29177553 -1
14 102607464 102607602 +1
12 48929169 48929455 +1
6 150978958 150979254 +1
16 23568538 23568853 +1
19 45020899 45021191 +1
2 39090867 39091168 -1
22 21863264 21863570 -1
1 183495588 183495883 +1
1 8810325 8810643 +1
11 9467237 9467531 -1
16 68546510 68546811 -1
4 101151282 101151576 +1
8 127838423 127838697 +1
11 778638 778928 +1
21 37401482 37401782 -1
22 40956442 40956638 -1
1 151437473 151437762 +1
4 779387 779562 +1
7 105274894 105275185 -1
1 32019760 32020067 -1
17 76760518 76760829 -1
2 65123551 65123837 +1
 "X" 124067284 124067564 -1
9 4681436 4681648 +1
1 38002876 38003190 +1
7 65378069 65378306 +1
4 168990445 168990717 -1
11 62838479 62838785 +1
1 28944824 28945111 +1
17 67214863 67215173 +1
19 45015452 45015760 +1
1 64940878 64941187 +1
11 62731342 62731598 +1
17 30510431 30510727 +1
19 49868700 49868904 +1
11 9260829 9261150 -1
6 89807084 89807379 -1
14 102640971 102641278 +1
8 125261814 125262096 +1
16 58605672 58605955 -1
2 20266159 20266464 +1
2 61883141 61883435 +1
1 8605135 8605431 -1
4 48834492 48834795 +1
4 53430341 53430636 -1
3 47708074 47708440 -1
2 25770216 25770440 -1
17 63720173 63720471 -1
19 4105671 4105948 -1
7 129899845 129900157 +1
16 74583401 74583679 -1
17 81560426 81560663 +1
7 148858531 148858748 -1
5 42998124 42998419 -1
12 6888786 6889076 -1
15 77465393 77465689 -1
 "X" 49035028 49035322 +1
19 8531370 8531554 -1
18 47140527 47140816 -1
 "X" 74243759 74244060 +1
1 153869963 153870249 -1
1 151434026 151434325 +1
12 55799907 55800202 +1
1 205739997 205740304 -1
14 102148273 102148555 +1
16 67589806 67590103 +1
22 40959834 40960125 +1
1 112947937 112948216 +1
2 61518960 61519248 -1
3 136747777 136748074 -1
6 99427921 99428175 +1
13 49689350 49689643 -1
19 21833255 21833567 -1
7 112455201 112455485 +1
8 125222781 125223062 +1
5 176387684 176387845 +1
20 3869599 3869902 -1
14 39188826 39189117 +1
10 32324274 32324553 +1
12 112222386 112222684 +1
5 139352834 139353121 +1
7 65903506 65903792 +1
 "X" 44883380 44883673 -1
16 10387891 10388190 -1
2 202414744 202415031 -1
16 23873046 23873400 +1
19 48152914 48153213 +1
3 141883205 141883522 +1
5 134772241 134772529 +1
1 39149251 39149587 +1
12 45900048 45900359 -1
11 61422850 61423130 +1
6 89839384 89839677 -1
15 41110447 41110720 -1
3 170366397 170366672 +1
6 150986708 150987000 -1
9 35048774 35049049 +1
 "X" 154545553 154545856 +1
11 126296651 126296951 -1
16 73004321 73004610 -1
10 27183703 27184011 -1
9 34183757 34184069 -1
5 17237621 17237910 -1
1 1879922 1880232 -1
16 89716085 89716382 +1
19 41368832 41369124 +1
2 121601892 121602200 +1
1 154212669 154212972 -1
10 21709732 21710042 -1
17 82460902 82461223 -1
17 78379860 78380164 -1
1 246475649 246475914 -1
12 125004853 125005147 -1
19 21147205 21147510 +1
8 117887354 117887649 -1
9 120840148 120840419 -1
1 23972748 23973045 -1
12 110402741 110403041 -1
22 31409711 31410016 +1
12 50151667 50151945 -1
7 66155535 66155836 -1
7 66544231 66544524 +1
4 15641745 15642046 +1
6 7119109 7119363 +1
17 32354619 32354913 -1
4 39831921 39832138 +1
5 139566018 139566318 -1
11 123389764 123390056 -1
8 67244316 67244599 -1
 "X" 44889014 44889314 -1
19 57863115 57863415 -1
1 66936220 66936528 -1
12 10216089 10216381 +1
19 4435382 4435668 -1
7 74177949 74178232 -1
1 161330717 161331020 +1
1 1875180 1875492 -1
15 71965474 71965764 +1
1 3785866 3786164 -1
 "X" 45828097 45828327 -1
10 96875579 96875884 +1
9 124734847 124735121 -1
14 102325069 102325357 +1
16 78786865 78787177 +1
1 16373604 16373902 -1
10 5779694 5779989 -1
12 56679673 56679974 -1
3 56665374 56665658 -1
1 1888555 1888853 +1
12 124997204 124997509 -1
19 1590025 1590306 +1
2 190885197 190885489 -1
5 171396712 171396976 +1
 "X" 74214244 74214532 +1
11 63686542 63686860 +1
16 68201668 68201984 +1
17 76808646 76808961 -1
3 180923961 180924249 -1
22 29293875 29294163 -1
3 177136307 177136579 -1
5 133078744 133079033 -1
7 40063645 40063959 -1
9 33828737 33829034 -1
13 45353506 45353813 +1
17 69318114 69318394 -1
19 8369453 8369753 -1
1 21731265 21731563 -1
12 56680764 56681071 -1
9 129911650 129911959 +1
5 126781010 126781269 +1
7 30626365 30626650 -1
1 176041336 176041652 -1
8 118042287 118042598 -1
8 6458636 6458946 -1
5 134377911 134378176 +1
19 10657901 10658199 -1
19 11526719 11527019 -1
13 21400995 21401299 +1
18 9607076 9607385 +1
22 21842311 21842607 +1
22 24570812 24571118 -1
14 45116989 45117271 -1
15 74027269 74027581 +1
1 1483011 1483317 +1
1 32674252 32674527 -1
10 124783137 124783443 -1
11 123443557 123443880 -1
3 48923523 48923820 -1
10 97496242 97496538 +1
13 46036723 46037017 -1
6 83036017 83036323 -1
9 34042809 34043079 +1
11 123481173 123481479 +1
11 66629793 66630099 +1
16 29862173 29862451 +1
7 102384065 102384359 +1
20 33534322 33534612 -1
3 101583639 101583817 -1
11 57720406 57720697 -1
2 206025904 206026198 -1
22 28797498 28797786 +1
1 3786215 3786508 +1
15 89249355 89249647 -1
4 86984321 86984622 -1
2 23971833 23972094 +1
5 139566391 139566695 +1
1 46305031 46305330 +1
3 136662769 136663068 +1
19 11850748 11851061 +1
1 214368700 214368990 +1
10 68525128 68525434 -1
1 46311600 46311928 -1
2 96188266 96188574 -1
7 99567780 99568084 +1
3 47840362 47840653 +1
14 91115420 91115709 -1
17 69317114 69317422 +1
8 97675939 97676239 -1
11 63710996 63711298 +1
14 103575699 103576002 -1
20 33645991 33646299 -1
8 73978087 73978383 -1
10 68356877 68357190 +1
17 50705660 50705958 -1
1 160026857 160027114 -1
1 226247661 226247973 -1
7 65002324 65002627 -1
1 205117820 205118105 -1
1 212756130 212756409 -1
12 121339466 121339764 -1
19 23367909 23368178 -1
11 47224928 47225239 -1
12 48346728 48347042 +1
2 27357366 27357480 +1
19 45005608 45005903 -1
1 151245556 151245835 -1
3 47761813 47762080 -1
1 217604068 217604359 +1
6 99472221 99472515 -1
17 74870234 74870541 +1
19 23258331 23258617 -1
6 159719247 159719483 +1
7 23448649 23448931 -1
1 181001896 181002157 +1
11 62567690 62567991 -1
19 12942077 12942375 +1
20 33495115 33495405 +1
7 138475514 138475809 -1
1 235248058 235248349 -1
16 30934082 30934374 +1
21 14105416 14105723 -1
11 73827102 73827392 +1
12 55792372 55792683 -1
 "X" 24180383 24180676 -1
16 28955583 28955887 -1
18 160022 160324 +1
3 56665689 56665981 +1
7 23524693 23524988 -1
10 6171386 6171692 -1
14 102601200 102601312 -1
14 102612413 102612635 -1
6 75238809 75239114 -1
12 110399019 110399319 -1
13 79391436 79391723 -1
20 33533693 33533995 +1
4 39325943 39326218 +1
 "X" 44886937 44887219 -1
 "X" 77828288 77828585 +1
13 24466188 24466480 -1
19 21812673 21812954 +1
12 10219036 10219345 +1
3 136507356 136507667 -1
3 50026661 50026923 +1
6 17668561 17668856 +1
1 27776431 27776743 +1
12 57364143 57364449 -1
7 66651270 66651562 -1
2 28772034 28772314 +1
4 57000153 57000441 +1
1 77699238 77699524 +1
10 21659512 21659808 -1
9 36652042 36652346 -1
1 155475146 155475433 -1
1 37498869 37499164 +1
11 65494194 65494493 -1
2 203304236 203304496 -1
16 78264989 78265294 -1
1 155818720 155819007 +1
2 241703597 241703901 -1
19 40707456 40707754 -1
19 8527625 8527912 -1
3 47776319 47776605 +1
11 108125989 108126302 -1
12 54270769 54271054 +1
17 48940112 48940340 -1
4 86940412 86940699 -1
 "X" 136877056 136877326 +1
12 113814214 113814518 +1
4 143193803 143194100 +1
1 29093625 29093908 +1
17 31988591 31988788 -1
17 64495297 64495570 +1
6 24715564 24715870 +1
8 127807352 127807601 -1
15 50363389 50363684 -1
2 65091992 65092287 +1
3 197278002 197278311 +1
17 32475981 32476286 +1
19 58361350 58361656 -1
6 125786864 125787151 +1
1 151218554 151218853 +1
12 56220515 56220750 +1
14 103484165 103484472 -1
16 72511670 72511904 +1
2 202446656 202446949 -1
22 29930423 29930707 +1
6 122403323 122403636 +1
17 51116035 51116345 -1
19 36683551 36683832 +1
17 47099489 47099803 +1
7 66157841 66158144 -1
2 20334951 20335223 -1
1 153639779 153640073 -1
1 15691830 15692130 +1
2 61078756 61079057 +1
6 43617344 43617636 +1
9 33837417 33837719 -1
1 180979924 180980223 +1
18 46192914 46193185 +1
2 44354578 44354876 -1
3 185770744 185771049 -1
4 39625442 39625730 -1
8 102405538 102405836 +1
10 73092838 73093137 +1
13 72966626 72966941 +1
14 102324719 102324965 +1
22 31634884 31635168 +1
7 148810687 148810922 +1
4 2839580 2839857 -1
2 73216955 73217249 -1
12 55793017 55793286 +1
16 25003230 25003513 -1
2 9624751 9625043 -1
16 23869747 23870034 +1
19 10966309 10966593 +1
2 113948161 113948449 -1
14 39375413 39375717 +1
17 50723661 50723933 -1
3 49394348 49394650 -1
1 205730065 205730346 -1
14 34579345 34579624 +1
19 17556631 17556935 +1
2 25964025 25964294 +1
14 35719071 35719327 +1
1 24663987 24664295 -1
14 75284679 75284969 -1
 "X" 74278358 74278650 -1
19 12941466 12941782 -1
1 29175139 29175408 +1
16 23871570 23871838 -1
7 148736304 148736603 -1
13 41032577 41032880 +1
17 75787213 75787491 -1
19 17410162 17410471 -1
1 155684562 155684885 -1
12 48672767 48673058 -1
14 58289753 58290038 -1
17 39471972 39472283 -1
19 5979171 5979441 +1
19 49521047 49521289 -1
2 61882513 61882809 -1
5 72890860 72891142 -1
9 112662513 112662811 +1
14 21447373 21447671 -1
11 119000527 119000772 +1
1 155736418 155736716 -1
1 175967308 175967524 +1
14 102664108 102664413 -1
2 131145329 131145634 -1
5 132472453 132472754 +1
12 121912583 121912897 +1
12 19466205 19466468 +1
17 61969073 61969372 +1
3 155849626 155849908 +1
5 17241092 17241399 -1
11 67339814 67340110 -1
1 67418475 67418776 +1
3 182977762 182978069 +1
15 64628374 64628592 +1
3 12637372 12637516 -1
3 195923134 195923431 +1
1 21173403 21173705 +1
1 61718036 61718318 +1
11 65549415 65549717 -1
2 241692296 241692601 -1
8 38377712 38377948 +1
1 28513962 28514168 +1
16 28858657 28858961 +1
19 17401884 17402187 +1
2 47794271 47794571 -1
3 9836028 9836315 +1
6 152986035 152986288 +1
1 26453474 26453774 +1
1 28513203 28513494 -1
11 47542496 47542796 -1
9 128560737 128561038 +1
 "X" 101048464 101048738 -1
12 53178509 53178809 +1
12 56680377 56680681 -1
14 21471334 21471641 +1
1 8778557 8778836 +1
12 943934 944234 +1
17 28666550 28666856 -1
22 49813562 49813843 +1
1 25801993 25802289 -1
12 57402570 57402779 +1
17 67719304 67719558 -1
17 80266488 80266805 -1
22 31409085 31409388 -1
10 97446721 97447008 -1
16 27551604 27551859 +1
1 201995400 201995693 +1
20 32381215 32381500 -1
4 108626447 108626738 -1
1 183513369 183513669 -1
13 32466284 32466563 +1
2 55662394 55662698 +1
10 74844934 74845236 +1
12 111551016 111551315 +1
22 17755520 17755829 +1
4 3355519 3355824 +1
13 28195524 28195834 -1
2 61512761 61513005 +1
6 37844307 37844580 -1
7 65003206 65003504 +1
1 235301256 235301534 +1
16 47246811 47247083 -1
3 10152481 10152789 -1
2 47880000 47880263 -1
 "X" 119600665 119600931 -1
14 103632439 103632750 +1
3 196904957 196905201 -1
19 57865425 57865705 +1
7 101091445 101091756 +1
19 18276032 18276337 +1
5 72905612 72905915 +1
14 91506577 91506849 -1
15 65779651 65780037 -1
22 20494387 20494676 -1
11 65984386 65984653 -1
1 225788414 225788713 -1
18 704605 704905 -1
17 48062178 48062452 -1
6 150977902 150978197 -1
1 150620802 150621103 +1
12 49785010 49785308 -1
3 101688300 101688600 +1
11 46109699 46109997 +1
11 9291704 9292005 -1
5 69199174 69199475 -1
1 15887742 15888035 +1
1 205117045 205117353 -1
10 121901467 121901755 -1
10 75116812 75117108 -1
16 58583610 58583838 -1
3 19954536 19954838 +1
3 49989292 49989595 +1
7 139366973 139367271 -1
7 148866718 148867013 -1
12 64191792 64192072 +1
5 134393270 134393564 -1
16 31123512 31123804 -1
1 201767171 201767476 +1
2 9513743 9514040 +1
6 43633172 43633471 -1
11 108284949 108285259 -1
16 30770708 30771009 -1
9 125187277 125187571 -1
9 128330492 128330763 -1
9 122817478 122817738 -1
10 28539560 28539858 -1
17 67358285 67358597 +1
11 62823176 62823464 -1
12 53028332 53028571 +1
19 21120031 21120340 -1
8 30696701 30696998 -1
1 8531176 8531496 +1
14 99249845 99250031 +1
16 23127151 23127435 +1
16 28855994 28856289 +1
17 4962841 4963064 -1
7 105007689 105007985 -1
8 144833784 144834075 -1
12 47704718 47704980 +1
14 30602603 30602911 -1
15 75588075 75588369 +1
17 31097703 31098006 -1
2 43988868 43989151 -1
3 52273618 52273919 -1
5 57190303 57190607 +1
1 235233165 235233458 +1
13 40905413 40905726 +1
19 19901809 19902097 +1
19 45857798 45858098 -1
8 11843748 11844052 +1
19 57791800 57792081 +1
3 38467469 38467764 +1
2 130159004 130159293 -1
20 62930939 62931234 -1
8 117963483 117963789 -1
16 67565005 67565301 -1
1 229536675 229536968 +1
12 54245016 54245310 -1
11 47763181 47763413 +1
11 70370850 70371121 +1
14 20318766 20319062 -1
16 48305242 48305553 -1
2 27348534 27348811 +1
9 129957547 129957852 -1
22 40592481 40592792 -1
